1,63,88,77,228,76
2,85,83,51,219,73
3,88,70,89,247,82
4,77,57,68,202,67
5,72,71,73,216,72
6,57,85,100,242,80
7,63,63,92,218,72
8,54,90,55,199,66
9,67,96,79,242,80
10,71,59,65,195,65
11,71,63,71,205,68
12,58,74,83,215,71
13,63,92,99,254,84
14,82,94,65,241,80
15,92,84,70,246,82
16,72,56,91,219,73
17,68,78,87,233,77
18,87,65,68,220,73
19,84,71,58,213,71
20,78,90,58,226,75
21,89,81,52,222,74
22,72,52,78,202,67
23,92,77,96,265,88
24,84,59,57,200,66
25,93,98,99,290,96
26,86,83,94,263,87
27,69,70,90,229,76
28,99,51,91,241,80
29,59,94,80,233,77
30,63,52,57,172,57
